;Columna1;Columna2
186;'Casablanca';Aeropuerto Internacional Mohámmed V (CMN)
187;'Agadir';Aeropuerto de Agadir-Al Massira (AGA)
188;'Al Hoceima';Aeropuerto de Alhucemas (AHU)
189;'Dakhla';Aeropuerto de Dajla (VIL)
190;'Ciudad del Cabo';Aeropuerto Internacional de la Ciudad del Cabo (CPT)
191;'Johannesburgo';Aeropuerto de Johannesburgo (JNB)
192;'Ottawa';Aeropuerto Internacional de Ottawa/McDonald-Cartier (YOW)
193;'Alberta';Aeropuerto de Grande Prairie (YQU)
194;'Alberta';Aeropuerto Internacional de Calgary (YYC)
195;'Alberta';Aeropuerto Internacional de Edmonton (YEG)
196;'Montreal';Aeropuerto Internacional Pierre Elliott Trudeau (YUL)
197;'Montreal';Aeropuerto Internacional de Montreal-Mirabel (YMX)
198;'Montreal';Aeropuerto de Montreal-Saint-Hubert (YHU)
199;'Quebec';Aeropuerto Internacional Ciudad de Quebec-Jean Lesage (YQB)
200;'Terranova';Aeropuerto Internacional de San Juan de Terranova (YYT)
201;'Toronto';Aeropuerto Internacional Toronto Pearson (YYZ)
202;'Vancouver';Aeropuerto Internacional de Vancouver (YVR)
203;'Winnipeg';Aeropuerto Internacional James Armstrong Richardson (YWG)
204;'Birmingham';Aeropuerto Internacional de Birmingham-Shuttlesworth (BHM)
205;'Anchorage';Aeropuerto Internacional Ted Stevens Anchorage (ANC)
206;'Kingman';Aeropuerto de Kingman, Arizona (IGM)
207;'Phoenix';Aeropuerto Internacional de Phoenix Sky Harbor (PHX)
208;'Prescott';Aeropuerto Regional de Prescott (PRC)
209;'Tucson';Aeropuerto Internacional de Tucson (TUS)
210;'Fresno';Aeropuerto Internacional de Fresno Yosemite (FAT)
211;Los Ángeles';Aeropuerto Regional LA/Palmdale (PMD)
212;Los Ángeles';Aeropuerto Internacional de Los Ángeles (LAX)
213;'Long Beach';Aeropuerto de Long Beach (LGB)
214;'Oakland';Aeropuerto Internacional de Oakland (OAK)
215;'Ontario';Aeropuerto Internacional LA/Ontario (ONT)
216;'Orange';Aeropuerto John Wayne (SNA)
217;'Palm Springs';Aeropuerto Internacional de Palm Springs (PSP)
218;'Sacramento';Aeropuerto Internacional de Sacramento (SMF)
219;'San Bernardino';Aeropuerto Internacional de San Bernardino (SBD)
220;'San Diego';Aeropuerto Internacional de San Diego (SAN)
221;'San Diego';Aeropuerto McClellan-Palomar (CLD)
222;'San Diego';Aeropuerto de Montgomery Field (MYF)
223;'San Francisco';Aeropuerto Internacional de San Francisco (SFO)
224;San José';Aeropuerto Internacional de San José (SJC)
225;'Charlotte';Aeropuerto Internacional de Charlotte-Douglas (CLT)
226;'Raleigh-Durham';Aeropuerto Internacional de Raleigh-Durham (RDU)
